"Techstack","Links"
"React, Node.js, MongoDB","https://example.com/react-portfolio"
"Angular,.NET, SQL Server","https://example.com/angular-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://example.com/vue-portfolio"
"Python, Django, MySQL","https://example.com/python-portfolio"
"Java, Spring Boot, Oracle","https://example.com/java-portfolio"
"Flutter, Firebase, GraphQL","https://example.com/flutter-portfolio"
"WordPress, PHP, MySQL","https://example.com/wordpress-portfolio"
"Magento, PHP, MySQL","https://example.com/magento-portfolio"
"React Native, Node.js, MongoDB","https://example.com/react-native-portfolio"
"iOS, Swift, Core Data","https://example.com/ios-portfolio"
"Android, Java, Room Persistence","https://example.com/android-portfolio"
"Kotlin, Android, Firebase","https://example.com/kotlin-android-portfolio"
"Android TV, Kotlin, Android NDK","https://example.com/android-tv-portfolio"
"iOS, Swift, ARKit","https://example.com/ios-ar-portfolio"
"Cross-platform, Xamarin, Azure","https://example.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot","https://example.com/kotlin-backend-portfolio"
"Frontend, TypeScript, Angular","https://example.com/typescript-frontend-portfolio"
"Full-stack, JavaScript, Express.js","https://example.com/full-stack-js-portfolio"
"Machine Learning, Python, TensorFlow","https://example.com/ml-python-portfolio"
"DevOps, Jenkins, Docker","https://example.com/devops-portfolio"
"PHP, Laravel, MySQL","https://example.com/php-laravel-portfolio"
"PHP, Symfony, PostgreSQL","https://example.com/php-symfony-portfolio"
"PHP, CodeIgniter, SQLite","https://example.com/php-codeigniter-portfolio"
"PHP, Zend Framework, Oracle","https://example.com/php-zend-portfolio"
"PHP, Yii, MongoDB","https://example.com/php-yii-portfolio"
"PHP, WordPress, WooCommerce","https://example.com/php-wordpress-woocommerce-portfolio"
"PHP, Drupal, MySQL","https://example.com/php-drupal-portfolio"
"PHP, Magento, Elasticsearch","https://example.com/php-magento-elasticsearch-portfolio"
"PHP, Slim Framework, PostgreSQL","https://example.com/php-slim-portfolio"
